Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"R1",1,"270 Ω Resistor"
"U2",1," LCD 16 x 2"
"SERVO3, SERVO4",2,"Contínuo Micro servo"
"DIST1",1," Sensor de distância ultrassônico"
"PIEZO1",1," Piezo"
"R2",1,"1 kΩ Resistor"
